Номер,Файл_Excel,Тип_файла,Sheet_ID,Название_проекта,Google_Sheets_URL,Статус,Примечание
1,original_sheet.xlsx,Тестовый файл,original_sheet,,https://docs.google.com/spreadsheets/d/original_sheet,Найдена автоматически,Ссылка найдена
2,sheet_1-5pUbx__1758278401.xlsx,Sheet ID файл,sheet_1-5pUbx__1758278401,,https://docs.google.com/spreadsheets/d/sheet_1-5pUbx__1758278401,Найдена автоматически,Ссылка найдена
3,sheet_12fQQJFP_1758278191.xlsx,Sheet ID файл,sheet_12fQQJFP_1758278191,,https://docs.google.com/spreadsheets/d/sheet_12fQQJFP_1758278191,Найдена автоматически,Ссылка найдена
4,sheet_15ipEk2j_1758278196.xlsx,Sheet ID файл,sheet_15ipEk2j_1758278196,,https://docs.google.com/spreadsheets/d/sheet_15ipEk2j_1758278196,Найдена автоматически,Ссылка найдена
5,sheet_17MYSsxo_public.xlsx,Sheet ID файл,sheet_17MYSsxo_public,,https://docs.google.com/spreadsheets/d/sheet_17MYSsxo_public,Найдена автоматически,Ссылка найдена
6,sheet_18M6bs8k_1758278363.xlsx,Sheet ID файл,sheet_18M6bs8k_1758278363,,https://docs.google.com/spreadsheets/d/sheet_18M6bs8k_1758278363,Найдена автоматически,Ссылка найдена
7,sheet_18cySstG_1758278370.xlsx,Sheet ID файл,sheet_18cySstG_1758278370,,https://docs.google.com/spreadsheets/d/sheet_18cySstG_1758278370,Найдена автоматически,Ссылка найдена
8,sheet_1CZAC0TA_1758278189.xlsx,Sheet ID файл,sheet_1CZAC0TA_1758278189,,https://docs.google.com/spreadsheets/d/sheet_1CZAC0TA_1758278189,Найдена автоматически,Ссылка найдена
9,sheet_1FHHpsQJ_public.xlsx,Sheet ID файл,sheet_1FHHpsQJ_public,,https://docs.google.com/spreadsheets/d/sheet_1FHHpsQJ_public,Найдена автоматически,Ссылка найдена
10,sheet_1FIAT6ri_1758278199.xlsx,Sheet ID файл,sheet_1FIAT6ri_1758278199,,https://docs.google.com/spreadsheets/d/sheet_1FIAT6ri_1758278199,Найдена автоматически,Ссылка найдена
11,sheet_1L4XSR4k_1758278208.xlsx,Sheet ID файл,sheet_1L4XSR4k_1758278208,,https://docs.google.com/spreadsheets/d/sheet_1L4XSR4k_1758278208,Найдена автоматически,Ссылка найдена
